level,taxon,fit_level,fit_taxon,n,cities,ln_a,b,sigma,r2,age_min_years,age_max_years,scale
genus,Lagunaria,genus,Lagunaria,645,3,1.1336,0.436671,0.508164,0.224471,1.03217,48.5804,3.53499
genus,Larix,genus,Larix,9558,12,1.07916,0.501791,0.468674,0.404087,1.00205,116.69,3.28376
genus,Laurus,division,Angiosperm,1753823,22,0.944994,0.635705,0.613948,0.529363,1.00205,196.687,3.10639
genus,Leptospermum,division,Angiosperm,1753823,22,0.944994,0.635705,0.613948,0.529363,1.00205,196.687,3.10639
genus,Ligustrum,division,Angiosperm,1753823,22,0.944994,0.635705,0.613948,0.529363,1.00205,196.687,3.10639
genus,Liquidambar,genus,Liquidambar,42811,17,0.986938,0.690884,0.65873,0.386267,1.00479,126.689,3.33309
genus,Liriodendron,genus,Liriodendron,7546,17,1.05022,0.586219,0.76559,0.400573,1.00205,164.687,3.8316
genus,Lophostemon,division,Angiosperm,1753823,22,0.944994,0.635705,0.613948,0.529363,1.00205,196.687,3.10639
genus,Lyonothamnus,genus,Lyonothamnus,209,2,1.50437,0.305046,0.450823,0.253831,1.83984,42.9815,4.98281
genus,Maackia,division,Angiosperm,1753823,22,0.944994,0.635705,0.613948,0.529363,1.00205,196.687,3.10639
genus,Maclura,genus,Maclura,180,7,1.40378,0.563815,0.509965,0.536329,1.30595,104.69,4.63583
genus,Magnolia,genus,Magnolia,31720,17,0.888775,0.625033,0.718923,0.249505,1.013,121.689,3.14936
genus,Malus,genus,Malus,40053,21,1.3236,0.38061,0.418881,0.40183,1.00205,126.689,4.1014
genus,Maytenus,division,Angiosperm,1753823,22,0.944994,0.635705,0.613948,0.529363,1.00205,196.687,3.10639
genus,Melaleuca,division,Angiosperm,1753823,22,0.944994,0.635705,0.613948,0.529363,1.00205,196.687,3.10639
genus,Melia,division,Angiosperm,1753823,22,0.944994,0.635705,0.613948,0.529363,1.00205,196.687,3.10639
genus,Metasequoia,genus,Metasequoia,3938,14,0.977406,0.746011,0.559492,0.581161,1.17454,146.689,3.10782
genus,Metrosideros,genus,Metrosideros,1846,3,0.566724,0.666429,0.659439,0.210978,2.19302,70.2396,2.19055
genus,Morus,division,Angiosperm,1753823,22,0.944994,0.635705,0.613948,0.529363,1.00205,196.687,3.10639
genus,Myoporum,division,Angiosperm,1753823,22,0.944994,0.635705,0.613948,0.529363,1.00205,196.687,3.10639
genus,Nerium,division,Angiosperm,1753823,22,0.944994,0.635705,0.613948,0.529363,1.00205,196.687,3.10639
genus,Nyssa,genus,Nyssa,5525,15,1.45911,0.35861,0.406906,0.319341,1.01848,42.6913,4.67345
genus,Olea,genus,Olea,3834,5,0.681586,0.691998,0.705127,0.241402,1.07871,70.2396,2.53499
genus,Ostrya,genus,Ostrya,5278,17,1.32096,0.323804,0.398265,0.258014,1.00205,125.054,4.05627
genus,Parrotia,genus,Parrotia,4123,11,1.45511,0.357236,0.367258,0.390582,1.07871,92.6899,4.58391
genus,Paulownia,division,Angiosperm,1753823,22,0.944994,0.635705,0.613948,0.529363,1.00205,196.687,3.10639
genus,Persea,division,Angiosperm,1753823,22,0.944994,0.635705,0.613948,0.529363,1.00205,196.687,3.10639
genus,Phellodendron,genus,Phellodendron,3260,12,1.07286,0.495616,0.427263,0.476605,1.00205,122.376,3.20315
genus,Photinia,division,Angiosperm,1753823,22,0.944994,0.635705,0.613948,0.529363,1.00205,196.687,3.10639
genus,Picea,genus,Picea,31496,17,0.946458,0.572421,0.496083,0.467729,1.00205,96.6899,2.91394
genus,Pinus,genus,Pinus,46943,19,1.04191,0.609642,0.735892,0.369839,1.00205,183.688,3.71612
genus,Pistacia,genus,Pistacia,3614,7,1.27971,0.478039,0.581073,0.36212,1.03491,54.0671,4.25688
genus,Pittosporum,division,Angiosperm,1753823,22,0.944994,0.635705,0.613948,0.529363,1.00205,196.687,3.10639
genus,Platanus,genus,Platanus,55782,20,1.10264,0.676283,0.529648,0.643617,1.00205,193.687,3.46565
genus,Platycladus,division,Gymnosperm,129650,21,1.0042,0.597991,0.693953,0.400249,1.00205,197.687,3.47289
genus,Podocarpus,division,Gymnosperm,129650,21,1.0042,0.597991,0.693953,0.400249,1.00205,197.687,3.47289
genus,Populus,genus,Populus,36585,19,0.650123,0.782636,0.540042,0.672196,1.00205,183.688,2.21654
genus,Prunus,genus,Prunus,61432,20,1.35734,0.437931,0.588229,0.313995,1.00205,126.689,4.61979
genus,Pseudotsuga,genus,Pseudotsuga,1001,11,-0.362753,1.05502,0.851371,0.665646,1.00205,146.689,0.999664
genus,Pterocarya,genus,Pterocarya,646,6,1.07186,0.759702,0.472427,0.665094,1.0924,164.687,3.26565
genus,Punica,division,Angiosperm,1753823,22,0.944994,0.635705,0.613948,0.529363,1.00205,196.687,3.10639
genus,Pyrus,division,Angiosperm,1753823,22,0.944994,0.635705,0.613948,0.529363,1.00205,196.687,3.10639
genus,Quercus,genus,Quercus,134633,21,1.02479,0.640103,0.55826,0.642989,1.00205,196.687,3.25638
genus,Rhamnus,division,Angiosperm,1753823,22,0.944994,0.635705,0.613948,0.529363,1.00205,196.687,3.10639
genus,Rhaphiolepis,division,Angiosperm,1753823,22,0.944994,0.635705,0.613948,0.529363,1.00205,196.687,3.10639
genus,Rhododendron,division,Angiosperm,1753823,22,0.944994,0.635705,0.613948,0.529363,1.00205,196.687,3.10639
genus,Rhus,genus,Rhus,699,8,-1.11591,1.13477,0.832128,0.539337,1.16632,76.6899,0.463155
genus,Robinia,genus,Robinia,16766,18,1.08006,0.667408,0.495942,0.46723,1.02122,150.689,3.33024
genus,Salix,genus,Salix,8356,15,0.879847,0.716451,0.622184,0.518463,1.01574,175.688,2.92532
genus,Sambucus,division,Angiosperm,1753823,22,0.944994,0.635705,0.613948,0.529363,1.00205,196.687,3.10639
genus,Sapium,division,Angiosperm,1753823,22,0.944994,0.635705,0.613948,0.529363,1.00205,196.687,3.10639
genus,Sassafras,genus,Sassafras,124,8,0.830243,0.709801,0.834906,0.212696,1.05407,24.6899,3.2504
genus,Schinus,division,Angiosperm,1753823,22,0.944994,0.635705,0.613948,0.529363,1.00205,196.687,3.10639
genus,Sequoia,division,Gymnosperm,129650,21,1.0042,0.597991,0.693953,0.400249,1.00205,197.687,3.47289
genus,Sequoiadendron,genus,Sequoiadendron,166,8,0.938528,0.711118,0.800801,0.381672,1.73306,176.687,3.5225
