level,taxon,family,division,fit_level,fit_taxon,n,ln_a,b,sigma,r2,dbh_min_cm,dbh_max_cm,scale
genus,Bobgunnia,Fabaceae,Angiosperm,family,Fabaceae,13535,-1.19381,0.703454,0.539608,0.602688,1,246.4,0.35056
genus,Bocageopsis,Annonaceae,Angiosperm,family,Annonaceae,1937,-0.832977,0.567258,0.469393,0.575238,1,126,0.485385
genus,Bocoa,Fabaceae,Angiosperm,family,Fabaceae,13535,-1.19381,0.703454,0.539608,0.602688,1,246.4,0.35056
genus,Boehmeria,Urticaceae,Angiosperm,family,Urticaceae,449,-1.4549,0.788163,0.497939,0.661041,1,105.1,0.264232
genus,Bombax,Malvaceae,Angiosperm,family,Malvaceae,4461,-1.20189,0.656564,0.487643,0.62546,1,247.7,0.33858
genus,Bonellia,Primulaceae,Angiosperm,family,Primulaceae,607,-1.02926,0.533411,0.456215,0.479607,1,65.5,0.396453
genus,Boscia,Capparaceae,Angiosperm,genus,Boscia,135,-0.890141,0.428749,0.380017,0.268448,3,31.5,0.441342
genus,Boswellia,Burseraceae,Angiosperm,family,Burseraceae,3087,-1.49501,0.716147,0.568016,0.5364,1,150.6,0.263503
genus,Bouea,Anacardiaceae,Angiosperm,genus,Bouea,33,-0.945459,0.712403,0.283789,0.815122,1.4,30,0.404465
genus,Bourreria,Boraginaceae,Angiosperm,family,Boraginaceae,362,-1.00836,0.564563,0.55653,0.492039,1,106.3,0.425924
genus,Bowdichia,Fabaceae,Angiosperm,family,Fabaceae,13535,-1.19381,0.703454,0.539608,0.602688,1,246.4,0.35056
genus,Brachychiton,Malvaceae,Angiosperm,genus,Brachychiton,30,-0.546374,0.449408,0.252182,0.540503,2,26,0.597754
genus,Brachyglottis,Asteraceae,Angiosperm,division,Angiosperm,211929,-1.16468,0.646075,0.464109,0.608856,1,385,0.347503
genus,Brachystegia,Fabaceae,Angiosperm,genus,Brachystegia,626,-1.47996,0.895854,0.382091,0.863459,1.5,83,0.244885
genus,Brackenridgea,Ochnaceae,Angiosperm,family,Ochnaceae,215,-1.29361,0.719512,0.42147,0.667232,1,114.7,0.299755
genus,Brenania,Rubiaceae,Angiosperm,family,Rubiaceae,4106,-0.998275,0.548977,0.506684,0.437674,1,112,0.418989
genus,Breynia,Phyllanthaceae,Angiosperm,family,Phyllanthaceae,2497,-1.46621,0.775491,0.470494,0.629917,1,111.5,0.257811
genus,Bridelia,Phyllanthaceae,Angiosperm,genus,Bridelia,203,-1.51687,0.717598,0.420308,0.535996,3,40.2,0.239659
genus,Brochoneura,Myristicaceae,Angiosperm,family,Myristicaceae,964,-0.851103,0.613182,0.355717,0.708463,1,136.8,0.454828
genus,Brongniartia,Fabaceae,Angiosperm,family,Fabaceae,13535,-1.19381,0.703454,0.539608,0.602688,1,246.4,0.35056
genus,Brosimum,Moraceae,Angiosperm,genus,Brosimum,415,-0.847031,0.612112,0.453202,0.747099,1,132,0.47505
genus,Broussonetia,Moraceae,Angiosperm,family,Moraceae,2663,-1.1809,0.654914,0.498565,0.646044,1,217.7,0.34763
genus,Brownlowia,Malvaceae,Angiosperm,family,Malvaceae,4461,-1.20189,0.656564,0.487643,0.62546,1,247.7,0.33858
genus,Brucea,Simaroubaceae,Angiosperm,family,Simaroubaceae,164,-1.05908,0.616087,0.466485,0.707822,1,78.9,0.386634
genus,Brunellia,Brunelliaceae,Angiosperm,division,Angiosperm,211929,-1.16468,0.646075,0.464109,0.608856,1,385,0.347503
genus,Buchanania,Anacardiaceae,Angiosperm,genus,Buchanania,59,-1.17043,0.623867,0.455133,0.405977,2,30.2,0.344089
genus,Buchenavia,Combretaceae,Angiosperm,family,Combretaceae,1534,-1.12022,0.687025,0.395915,0.720486,1,191,0.352803
genus,Bucida,Combretaceae,Angiosperm,genus,Bucida,60,-0.660448,0.630413,0.309803,0.610969,2.3,43,0.542017
genus,Buckinghamia,Proteaceae,Angiosperm,family,Proteaceae,510,-1.50893,0.80052,0.381045,0.713551,1.8,88,0.237798
genus,Bunchosia,Malpighiaceae,Angiosperm,family,Malpighiaceae,439,-0.855526,0.533879,0.549069,0.33432,1,46,0.494214
genus,Burkea,Fabaceae,Angiosperm,genus,Burkea,221,-1.79244,0.908388,0.352814,0.775526,2.2,70,0.177249
