level,taxon,family,division,fit_level,fit_taxon,n,ln_a,b,sigma,r2,dbh_min_cm,dbh_max_cm,scale
genus,Coelospermum,Rubiaceae,Angiosperm,family,Rubiaceae,4106,-0.998275,0.548977,0.506684,0.437674,1,112,0.418989
genus,Coelostegia,Malvaceae,Angiosperm,family,Malvaceae,4461,-1.20189,0.656564,0.487643,0.62546,1,247.7,0.33858
genus,Coffea,Rubiaceae,Angiosperm,family,Rubiaceae,4106,-0.998275,0.548977,0.506684,0.437674,1,112,0.418989
genus,Cojoba,Fabaceae,Angiosperm,family,Fabaceae,13535,-1.19381,0.703454,0.539608,0.602688,1,246.4,0.35056
genus,Cola,Malvaceae,Angiosperm,genus,Cola,38,-2.32414,0.987784,0.514717,0.505993,11.6,66.6,0.11173
genus,Colophospermum,Fabaceae,Angiosperm,genus,Colophospermum,213,-1.06482,0.631457,0.269387,0.69702,2.2,52.2,0.357531
genus,Colubrina,Rhamnaceae,Angiosperm,genus,Colubrina,79,-0.739955,0.462245,0.542395,0.264008,1.1,25.4,0.552745
genus,Combretum,Combretaceae,Angiosperm,genus,Combretum,420,-1.21035,0.758755,0.412611,0.690399,1.9,59.7,0.32458
genus,Commersonia,Malvaceae,Angiosperm,family,Malvaceae,4461,-1.20189,0.656564,0.487643,0.62546,1,247.7,0.33858
genus,Commiphora,Burseraceae,Angiosperm,family,Burseraceae,3087,-1.49501,0.716147,0.568016,0.5364,1,150.6,0.263503
genus,Comocladia,Anacardiaceae,Angiosperm,family,Anacardiaceae,2052,-1.2584,0.679159,0.439244,0.710644,1,197.5,0.312881
genus,Compsoneura,Myristicaceae,Angiosperm,family,Myristicaceae,964,-0.851103,0.613182,0.355717,0.708463,1,136.8,0.454828
genus,Connarus,Connaraceae,Angiosperm,family,Connaraceae,77,-1.22165,0.585382,0.426067,0.359038,2.5,37.3,0.322748
genus,Conostegia,Melastomataceae,Angiosperm,family,Melastomataceae,523,-0.779471,0.547054,0.460786,0.517693,1,49.7,0.510018
genus,Copaifera,Fabaceae,Angiosperm,genus,Copaifera,47,-1.32328,0.767908,0.331722,0.713062,7.2,142.3,0.28132
genus,Coprosma,Rubiaceae,Angiosperm,family,Rubiaceae,4106,-0.998275,0.548977,0.506684,0.437674,1,112,0.418989
genus,Cordia,Boraginaceae,Angiosperm,genus,Cordia,219,-0.885941,0.544282,0.47851,0.622141,1,106.3,0.46234
genus,Cordyline,Asparagaceae,Angiosperm,family,Asparagaceae,65,-1.14251,0.566072,0.596771,0.29815,1.3,82.2,0.381198
genus,Coriaria,Coriariaceae,Angiosperm,division,Angiosperm,211929,-1.16468,0.646075,0.464109,0.608856,1,385,0.347503
genus,Cornus,Cornaceae,Angiosperm,genus,Cornus,394,-1.48685,0.90961,0.565975,0.707471,1,26.7,0.265355
genus,Cornutia,Lamiaceae,Angiosperm,family,Lamiaceae,683,-1.20981,0.61105,0.537772,0.453723,1,77.5,0.344655
genus,Corylopsis,Hamamelidaceae,Angiosperm,family,Hamamelidaceae,264,-0.14195,0.387314,0.461524,0.330204,1,44,0.965173
genus,Corylus,Betulaceae,Angiosperm,genus,Corylus,296,-0.42787,0.620829,0.382975,0.672295,1,24.7,0.701499
genus,Corymbia,Myrtaceae,Angiosperm,genus,Corymbia,275,-0.729962,0.479755,0.432636,0.463633,1,45,0.529207
genus,Corynanthe,Rubiaceae,Angiosperm,family,Rubiaceae,4106,-0.998275,0.548977,0.506684,0.437674,1,112,0.418989
genus,Corynocarpus,Corynocarpaceae,Angiosperm,division,Angiosperm,211929,-1.16468,0.646075,0.464109,0.608856,1,385,0.347503
genus,Cosmocalyx,Rubiaceae,Angiosperm,genus,Cosmocalyx,34,-1.82677,0.837647,0.505326,0.60215,2.5,27,0.18285
genus,Cotylelobium,Dipterocarpaceae,Angiosperm,family,Dipterocarpaceae,3821,-1.58657,0.774201,0.418766,0.726176,1,212,0.223378
genus,Couepia,Chrysobalanaceae,Angiosperm,family,Chrysobalanaceae,345,-0.800438,0.601551,0.417896,0.671237,1.1,99.9,0.490113
genus,Coula,Olacaceae,Angiosperm,family,Olacaceae,464,-0.746868,0.592203,0.381469,0.573087,1.4,103,0.50961
genus,Coulteria,Fabaceae,Angiosperm,family,Fabaceae,13535,-1.19381,0.703454,0.539608,0.602688,1,246.4,0.35056
genus,Couma,Apocynaceae,Angiosperm,family,Apocynaceae,1361,-1.21636,0.659122,0.458037,0.640796,1,186.2,0.329077
genus,Couratari,Lecythidaceae,Angiosperm,genus,Couratari,42,-1.60094,0.78814,0.415802,0.7123,5,142.8,0.219919
genus,Coussapoa,Urticaceae,Angiosperm,family,Urticaceae,449,-1.4549,0.788163,0.497939,0.661041,1,105.1,0.264232
genus,Coussarea,Rubiaceae,Angiosperm,family,Rubiaceae,4106,-0.998275,0.548977,0.506684,0.437674,1,112,0.418989
genus,Crataegus,Rosaceae,Angiosperm,genus,Crataegus,349,-1.2417,0.530599,0.427174,0.246412,1.5,39,0.316491
genus,Crateva,Capparaceae,Angiosperm,family,Capparaceae,456,-0.69434,0.432976,0.407584,0.381963,1,33.3,0.542657
genus,Cratoxylum,Hypericaceae,Angiosperm,genus,Cratoxylum,588,-1.30932,0.59164,0.354988,0.419478,3,40.4,0.287564
genus,Crepidospermum,Burseraceae,Angiosperm,family,Burseraceae,3087,-1.49501,0.716147,0.568016,0.5364,1,150.6,0.263503
genus,Crossopetalum,Celastraceae,Angiosperm,family,Celastraceae,435,-1.13263,0.66231,0.556926,0.494744,1,101.6,0.376232
genus,Crossopteryx,Rubiaceae,Angiosperm,family,Rubiaceae,4106,-0.998275,0.548977,0.506684,0.437674,1,112,0.418989
genus,Croton,Euphorbiaceae,Angiosperm,genus,Croton,735,-1.19952,0.615718,0.581735,0.381776,1,76.5,0.356897
genus,Crudia,Fabaceae,Angiosperm,family,Fabaceae,13535,-1.19381,0.703454,0.539608,0.602688,1,246.4,0.35056
genus,Crypteronia,Crypteroniaceae,Angiosperm,division,Angiosperm,211929,-1.16468,0.646075,0.464109,0.608856,1,385,0.347503
genus,Cryptocarya,Lauraceae,Angiosperm,genus,Cryptocarya,604,-1.22445,0.596929,0.474069,0.441927,1.8,106,0.328875
genus,Cryptomeria,Cupressaceae,Gymnosperm,family,Cupressaceae,563,-1.03097,0.556493,0.392518,0.571444,1,770,0.385224
genus,Ctenolophon,Ctenolophonaceae,Angiosperm,genus,Ctenolophon,105,-0.583943,0.566695,0.258505,0.84173,2.3,184,0.576643
genus,Cudrania,Moraceae,Angiosperm,family,Moraceae,2663,-1.1809,0.654914,0.498565,0.646044,1,217.7,0.34763
genus,Cunninghamia,Cupressaceae,Gymnosperm,genus,Cunninghamia,56,-1.77015,0.777391,0.537516,0.55006,1.2,27.7,0.196777
genus,Cupania,Sapindaceae,Angiosperm,family,Sapindaceae,9911,-0.998904,0.640163,0.420493,0.572939,1,141.2,0.402324
genus,Cupaniopsis,Sapindaceae,Angiosperm,family,Sapindaceae,9911,-0.998904,0.640163,0.420493,0.572939,1,141.2,0.402324
genus,Cupressus,Cupressaceae,Gymnosperm,genus,Cupressus,105,-1.09879,0.656711,0.298297,0.680031,2.8,54.5,0.348437
genus,Curatella,Dilleniaceae,Angiosperm,family,Dilleniaceae,320,-0.9912,0.507868,0.474276,0.310851,2.3,66,0.41531
genus,Cussonia,Araliaceae,Angiosperm,family,Araliaceae,1392,-1.63073,0.730318,0.499306,0.591335,1,138.1,0.221779
genus,Cyathocalyx,Annonaceae,Angiosperm,family,Annonaceae,1937,-0.832977,0.567258,0.469393,0.575238,1,126,0.485385
genus,Cyclophyllum,Rubiaceae,Angiosperm,family,Rubiaceae,4106,-0.998275,0.548977,0.506684,0.437674,1,112,0.418989
genus,Cylicodiscus,Fabaceae,Angiosperm,family,Fabaceae,13535,-1.19381,0.703454,0.539608,0.602688,1,246.4,0.35056
genus,Cymbopetalum,Annonaceae,Angiosperm,genus,Cymbopetalum,72,-0.709803,0.648479,0.309011,0.848408,1,35,0.515788
genus,Cynometra,Fabaceae,Angiosperm,family,Fabaceae,13535,-1.19381,0.703454,0.539608,0.602688,1,246.4,0.35056
genus,Cynophalla,Capparaceae,Angiosperm,family,Capparaceae,456,-0.69434,0.432976,0.407584,0.381963,1,33.3,0.542657
genus,Cyrilla,Cyrillaceae,Angiosperm,division,Angiosperm,211929,-1.16468,0.646075,0.464109,0.608856,1,385,0.347503
genus,Cyrtocarpa,Anacardiaceae,Angiosperm,family,Anacardiaceae,2052,-1.2584,0.679159,0.439244,0.710644,1,197.5,0.312881
genus,Cyrtogonone,Euphorbiaceae,Angiosperm,family,Euphorbiaceae,6196,-1.17832,0.614096,0.482286,0.532154,1,117,0.345755
genus,Dacrycarpus,Podocarpaceae,Gymnosperm,genus,Dacrycarpus,81,-1.33461,0.640968,0.347151,0.76095,2.8,157.4,0.279613
genus,Dacrydium,Podocarpaceae,Gymnosperm,genus,Dacrydium,159,-1.08936,0.589874,0.322042,0.818652,3,224,0.354337
genus,Dacryodes,Burseraceae,Angiosperm,genus,Dacryodes,128,-1.00212,0.663833,0.385524,0.776496,1.2,93.6,0.395422
genus,Dactylocladus,Crypteroniaceae,Angiosperm,division,Angiosperm,211929,-1.16468,0.646075,0.464109,0.608856,1,385,0.347503
genus,Dahlia,Asteraceae,Angiosperm,division,Angiosperm,211929,-1.16468,0.646075,0.464109,0.608856,1,385,0.347503
genus,Dalbergia,Fabaceae,Angiosperm,genus,Dalbergia,291,-1.10533,0.573734,0.417719,0.573769,2.3,75.9,0.361285
genus,Dalbergiella,Fabaceae,Angiosperm,family,Fabaceae,13535,-1.19381,0.703454,0.539608,0.602688,1,246.4,0.35056
genus,Damburneya,Lauraceae,Angiosperm,genus,Damburneya,134,-1.38249,0.809071,0.415407,0.847185,1,70,0.273566
genus,Daniellia,Fabaceae,Angiosperm,family,Fabaceae,13535,-1.19381,0.703454,0.539608,0.602688,1,246.4,0.35056
genus,Daphnandra,Atherospermataceae,Angiosperm,division,Angiosperm,211929,-1.16468,0.646075,0.464109,0.608856,1,385,0.347503
genus,Daphniphyllum,Daphniphyllaceae,Angiosperm,genus,Daphniphyllum,157,-1.12468,0.628183,0.366256,0.522384,2.6,34.4,0.347285
genus,Darlingia,Proteaceae,Angiosperm,family,Proteaceae,510,-1.50893,0.80052,0.381045,0.713551,1.8,88,0.237798
genus,Dasymaschalon,Annonaceae,Angiosperm,family,Annonaceae,1937,-0.832977,0.567258,0.469393,0.575238,1,126,0.485385
genus,Davidsonia,Cunoniaceae,Angiosperm,family,Cunoniaceae,98,-1.12508,0.728754,0.454835,0.574266,2.5,80.5,0.360003
genus,Daviesia,Fabaceae,Angiosperm,family,Fabaceae,13535,-1.19381,0.703454,0.539608,0.602688,1,246.4,0.35056
genus,Davilla,Dilleniaceae,Angiosperm,family,Dilleniaceae,320,-0.9912,0.507868,0.474276,0.310851,2.3,66,0.41531
genus,Decaspermum,Myrtaceae,Angiosperm,genus,Decaspermum,254,-1.40984,0.660551,0.443927,0.411627,3,35.9,0.269468
genus,Dehaasia,Lauraceae,Angiosperm,family,Lauraceae,6466,-0.827153,0.494061,0.501244,0.495364,1,195,0.495826
genus,Delonix,Fabaceae,Angiosperm,family,Fabaceae,13535,-1.19381,0.703454,0.539608,0.602688,1,246.4,0.35056
genus,Dendrocnide,Urticaceae,Angiosperm,genus,Dendrocnide,60,-1.21691,0.68517,0.288793,0.231363,10.2,27,0.308755
genus,Dendrokingstonia,Annonaceae,Angiosperm,family,Annonaceae,1937,-0.832977,0.567258,0.469393,0.575238,1,126,0.485385
genus,Dendrolobium,Fabaceae,Angiosperm,family,Fabaceae,13535,-1.19381,0.703454,0.539608,0.602688,1,246.4,0.35056
genus,Dendropanax,Araliaceae,Angiosperm,genus,Dendropanax,104,-1.07855,0.681877,0.364431,0.828035,1,73,0.363437
genus,Dendrosenecio,Asteraceae,Angiosperm,division,Angiosperm,211929,-1.16468,0.646075,0.464109,0.608856,1,385,0.347503
genus,Denhamia,Celastraceae,Angiosperm,family,Celastraceae,435,-1.13263,0.66231,0.556926,0.494744,1,101.6,0.376232
genus,Desbordesia,Irvingiaceae,Angiosperm,family,Irvingiaceae,75,-1.59721,0.834102,0.460154,0.643919,10.3,174,0.225071
genus,Desmopsis,Annonaceae,Angiosperm,family,Annonaceae,1937,-0.832977,0.567258,0.469393,0.575238,1,126,0.485385
genus,Desmos,Annonaceae,Angiosperm,family,Annonaceae,1937,-0.832977,0.567258,0.469393,0.575238,1,126,0.485385
genus,Desplatsia,Malvaceae,Angiosperm,family,Malvaceae,4461,-1.20189,0.656564,0.487643,0.62546,1,247.7,0.33858
genus,Detarium,Fabaceae,Angiosperm,family,Fabaceae,13535,-1.19381,0.703454,0.539608,0.602688,1,246.4,0.35056
genus,Diabelia,Caprifoliaceae,Angiosperm,division,Angiosperm,211929,-1.16468,0.646075,0.464109,0.608856,1,385,0.347503
genus,Dialium,Fabaceae,Angiosperm,genus,Dialium,165,-0.928801,0.650447,0.403325,0.702576,1,130,0.428499
genus,Dichapetalum,Dichapetalaceae,Angiosperm,division,Angiosperm,211929,-1.16468,0.646075,0.464109,0.608856,1,385,0.347503
genus,Dichostemma,Euphorbiaceae,Angiosperm,genus,Dichostemma,81,-2.14314,0.980196,0.417497,0.335682,10.3,34.3,0.127967
genus,Dichrostachys,Fabaceae,Angiosperm,family,Fabaceae,13535,-1.19381,0.703454,0.539608,0.602688,1,246.4,0.35056
genus,Dicorynia,Fabaceae,Angiosperm,family,Fabaceae,13535,-1.19381,0.703454,0.539608,0.602688,1,246.4,0.35056
genus,Dillenia,Dilleniaceae,Angiosperm,genus,Dillenia,319,-0.99129,0.508031,0.474997,0.310922,2.3,66,0.415414
genus,Dimocarpus,Sapindaceae,Angiosperm,genus,Dimocarpus,72,-1.53663,0.78143,0.334687,0.752405,3,48.7,0.227496
genus,Dimorphandra,Fabaceae,Angiosperm,family,Fabaceae,13535,-1.19381,0.703454,0.539608,0.602688,1,246.4,0.35056
genus,Dimorphocalyx,Euphorbiaceae,Angiosperm,family,Euphorbiaceae,6196,-1.17832,0.614096,0.482286,0.532154,1,117,0.345755
genus,Dinizia,Fabaceae,Angiosperm,family,Fabaceae,13535,-1.19381,0.703454,0.539608,0.602688,1,246.4,0.35056
genus,Dinosperma,Rutaceae,Angiosperm,family,Rutaceae,1836,-1.18574,0.604387,0.436409,0.516094,1,120,0.336044
genus,Diogoa,Olacaceae,Angiosperm,family,Olacaceae,464,-0.746868,0.592203,0.381469,0.573087,1.4,103,0.50961
genus,Diospyros,Ebenaceae,Angiosperm,genus,Diospyros,2365,-1.07417,0.578095,0.490275,0.470111,1,77.3,0.385203
genus,Diphysa,Fabaceae,Angiosperm,family,Fabaceae,13535,-1.19381,0.703454,0.539608,0.602688,1,246.4,0.35056
genus,Diplodiscus,Malvaceae,Angiosperm,family,Malvaceae,4461,-1.20189,0.656564,0.487643,0.62546,1,247.7,0.33858
genus,Diploglottis,Sapindaceae,Angiosperm,family,Sapindaceae,9911,-0.998904,0.640163,0.420493,0.572939,1,141.2,0.402324
genus,Diplorhynchus,Apocynaceae,Angiosperm,genus,Diplorhynchus,292,-1.20006,0.746441,0.468794,0.637735,1.6,56,0.336157
genus,Diplospora,Rubiaceae,Angiosperm,genus,Diplospora,147,-1.08867,0.580393,0.413648,0.408987,1.3,40,0.366734
genus,Dipterocarpus,Dipterocarpaceae,Angiosperm,genus,Dipterocarpus,123,-1.13872,0.687644,0.264447,0.917507,1.1,154.5,0.331623
genus,Dipteryx,Fabaceae,Angiosperm,genus,Dipteryx,53,-2.22537,1.01717,0.263289,0.856039,6.3,172.6,0.111837
genus,Dirca,Thymelaeaceae,Angiosperm,family,Thymelaeaceae,136,-0.97815,0.583658,0.396527,0.586642,1.1,37.5,0.40676
genus,Discocnide,Urticaceae,Angiosperm,family,Urticaceae,449,-1.4549,0.788163,0.497939,0.661041,1,105.1,0.264232
genus,Discoglypremna,Euphorbiaceae,Angiosperm,family,Euphorbiaceae,6196,-1.17832,0.614096,0.482286,0.532154,1,117,0.345755
genus,Disepalum,Annonaceae,Angiosperm,family,Annonaceae,1937,-0.832977,0.567258,0.469393,0.575238,1,126,0.485385
genus,Distemonanthus,Fabaceae,Angiosperm,family,Fabaceae,13535,-1.19381,0.703454,0.539608,0.602688,1,246.4,0.35056
genus,Distylium,Hamamelidaceae,Angiosperm,family,Hamamelidaceae,264,-0.14195,0.387314,0.461524,0.330204,1,44,0.965173
genus,Ditaxis,Euphorbiaceae,Angiosperm,family,Euphorbiaceae,6196,-1.17832,0.614096,0.482286,0.532154,1,117,0.345755
genus,Ditrysinia,Euphorbiaceae,Angiosperm,family,Euphorbiaceae,6196,-1.17832,0.614096,0.482286,0.532154,1,117,0.345755
genus,Dodonaea,Sapindaceae,Angiosperm,family,Sapindaceae,9911,-0.998904,0.640163,0.420493,0.572939,1,141.2,0.402324
genus,Dolichandrone,Bignoniaceae,Angiosperm,family,Bignoniaceae,878,-1.40041,0.718885,0.507137,0.645503,1.1,137.3,0.280322
genus,Dombeya,Malvaceae,Angiosperm,family,Malvaceae,4461,-1.20189,0.656564,0.487643,0.62546,1,247.7,0.33858
genus,Doryphora,Atherospermataceae,Angiosperm,division,Angiosperm,211929,-1.16468,0.646075,0.464109,0.608856,1,385,0.347503
genus,Dracaena,Asparagaceae,Angiosperm,genus,Dracaena,41,-1.18323,0.660096,0.57032,0.374006,1.3,82.2,0.360381
genus,Dracontomelon,Anacardiaceae,Angiosperm,family,Anacardiaceae,2052,-1.2584,0.679159,0.439244,0.710644,1,197.5,0.312881
genus,Drimycarpus,Anacardiaceae,Angiosperm,family,Anacardiaceae,2052,-1.2584,0.679159,0.439244,0.710644,1,197.5,0.312881
genus,Dryobalanops,Dipterocarpaceae,Angiosperm,genus,Dryobalanops,67,-0.925398,0.568228,0.215564,0.757479,10.5,135.5,0.405691
genus,Drypetes,Putranjivaceae,Angiosperm,genus,Drypetes,559,-1.18648,0.668577,0.520522,0.562337,1.1,72.5,0.349585
genus,Duabanga,Lythraceae,Angiosperm,family,Lythraceae,69,-1.43874,0.632124,0.442631,0.564493,2.7,59.5,0.261642
genus,Duboscia,Malvaceae,Angiosperm,genus,Duboscia,33,-0.544273,0.51795,0.264487,0.530725,14.2,118,0.600918
genus,Duckeodendron,Solanaceae,Angiosperm,division,Angiosperm,211929,-1.16468,0.646075,0.464109,0.608856,1,385,0.347503
genus,Duguetia,Annonaceae,Angiosperm,family,Annonaceae,1937,-0.832977,0.567258,0.469393,0.575238,1,126,0.485385
genus,Duperrea,Rubiaceae,Angiosperm,family,Rubiaceae,4106,-0.998275,0.548977,0.506684,0.437674,1,112,0.418989
genus,Durio,Malvaceae,Angiosperm,genus,Durio,49,-0.69779,0.613756,0.320763,0.648543,6,88.7,0.523957
genus,Dussia,Fabaceae,Angiosperm,family,Fabaceae,13535,-1.19381,0.703454,0.539608,0.602688,1,246.4,0.35056
genus,Dyera,Apocynaceae,Angiosperm,family,Apocynaceae,1361,-1.21636,0.659122,0.458037,0.640796,1,186.2,0.329077
genus,Dysoxylum,Meliaceae,Angiosperm,genus,Dysoxylum,83,-1.44266,0.654943,0.428854,0.526415,3,68,0.259058
genus,Ecclinusa,Sapotaceae,Angiosperm,family,Sapotaceae,3340,-1.00975,0.592546,0.498707,0.615454,1,180,0.412551
genus,Ehretia,Boraginaceae,Angiosperm,genus,Ehretia,68,-1.27412,0.669024,0.660533,0.291383,2.5,26.4,0.347857
genus,Ekebergia,Meliaceae,Angiosperm,family,Meliaceae,2186,-0.866573,0.57892,0.474811,0.632607,1,280.3,0.470551
genus,Elaeagnus,Elaeagnaceae,Angiosperm,division,Angiosperm,211929,-1.16468,0.646075,0.464109,0.608856,1,385,0.347503
genus,Elaeocarpus,Elaeocarpaceae,Angiosperm,genus,Elaeocarpus,395,-1.29124,0.620295,0.42628,0.519019,2.6,90,0.301079
genus,Elateriospermum,Euphorbiaceae,Angiosperm,genus,Elateriospermum,31,-0.349677,0.442401,0.311635,0.737232,1.4,60.4,0.73999
genus,Elattostachys,Sapindaceae,Angiosperm,family,Sapindaceae,9911,-0.998904,0.640163,0.420493,0.572939,1,141.2,0.402324
genus,Elephantorrhiza,Fabaceae,Angiosperm,family,Fabaceae,13535,-1.19381,0.703454,0.539608,0.602688,1,246.4,0.35056
genus,Ellipanthus,Connaraceae,Angiosperm,genus,Ellipanthus,70,-1.37444,0.623059,0.331964,0.482361,3,37.3,0.267312
genus,Emmenosperma,Rhamnaceae,Angiosperm,family,Rhamnaceae,689,-0.56848,0.52228,0.455881,0.462699,1,55.4,0.628407
genus,Emmotum,Metteniusaceae,Angiosperm,family,Metteniusaceae,99,-1.22688,0.595235,0.38929,0.508359,3.3,39.5,0.316286
genus,Endiandra,Lauraceae,Angiosperm,family,Lauraceae,6466,-0.827153,0.494061,0.501244,0.495364,1,195,0.495826
genus,Endlicheria,Lauraceae,Angiosperm,genus,Endlicheria,67,-1.39823,0.767726,0.307353,0.484406,11.7,54.9,0.258983
genus,Endocomia,Myristicaceae,Angiosperm,family,Myristicaceae,964,-0.851103,0.613182,0.355717,0.708463,1,136.8,0.454828
genus,Endodesmia,Calophyllaceae,Angiosperm,family,Calophyllaceae,278,-0.907257,0.665366,0.351527,0.820939,1.1,163,0.429355
genus,Endopleura,Humiriaceae,Angiosperm,genus,Endopleura,30,-1.56076,0.783704,0.2822,0.675107,10.2,89.8,0.218507
genus,Endospermum,Euphorbiaceae,Angiosperm,genus,Endospermum,189,-1.30154,0.632753,0.420258,0.501505,3.2,60.8,0.297235
genus,Engelhardia,Juglandaceae,Angiosperm,genus,Engelhardia,748,-1.45527,0.651821,0.390735,0.539194,3,70,0.251848
genus,Engelhardtia,Juglandaceae,Angiosperm,family,Juglandaceae,1068,-1.78882,0.840949,0.446595,0.640864,1.6,72.6,0.184687
genus,Enicosanthum,Annonaceae,Angiosperm,family,Annonaceae,1937,-0.832977,0.567258,0.469393,0.575238,1,126,0.485385
genus,Enkianthus,Ericaceae,Angiosperm,family,Ericaceae,1443,-0.62978,0.4646,0.371398,0.552415,1,149,0.570745
genus,Entada,Fabaceae,Angiosperm,family,Fabaceae,13535,-1.19381,0.703454,0.539608,0.602688,1,246.4,0.35056
genus,Entandrophragma,Meliaceae,Angiosperm,genus,Entandrophragma,81,-2.40358,0.974832,0.386524,0.85608,10.5,280.3,0.0974048
genus,Enterolobium,Fabaceae,Angiosperm,family,Fabaceae,13535,-1.19381,0.703454,0.539608,0.602688,1,246.4,0.35056
genus,Eperua,Fabaceae,Angiosperm,genus,Eperua,87,-0.660644,0.510702,0.377311,0.433002,5.4,142,0.554626
genus,Ephedra,Ephedraceae,Gymnosperm,division,Gymnosperm,77655,-1.52419,0.708135,0.304932,0.651332,1,770,0.228162
genus,Ephedranthus,Annonaceae,Angiosperm,family,Annonaceae,1937,-0.832977,0.567258,0.469393,0.575238,1,126,0.485385
genus,Epiprinus,Euphorbiaceae,Angiosperm,family,Euphorbiaceae,6196,-1.17832,0.614096,0.482286,0.532154,1,117,0.345755
genus,Eremophila,Scrophulariaceae,Angiosperm,division,Angiosperm,211929,-1.16468,0.646075,0.464109,0.608856,1,385,0.347503
genus,Erica,Ericaceae,Angiosperm,genus,Erica,635,-1.56601,0.793179,0.40119,0.369696,10,67,0.226381
genus,Eriobotrya,Rosaceae,Angiosperm,genus,Eriobotrya,71,-1.27083,0.634344,0.312917,0.609304,3,43,0.294679
genus,Eriocoelum,Sapindaceae,Angiosperm,family,Sapindaceae,9911,-0.998904,0.640163,0.420493,0.572939,1,141.2,0.402324
genus,Eriotheca,Malvaceae,Angiosperm,family,Malvaceae,4461,-1.20189,0.656564,0.487643,0.62546,1,247.7,0.33858
genus,Erisma,Vochysiaceae,Angiosperm,family,Vochysiaceae,117,-1.30568,0.729449,0.344753,0.639775,6,125.7,0.287582
genus,Erismadelphus,Vochysiaceae,Angiosperm,family,Vochysiaceae,117,-1.30568,0.729449,0.344753,0.639775,6,125.7,0.287582
genus,Erismanthus,Euphorbiaceae,Angiosperm,family,Euphorbiaceae,6196,-1.17832,0.614096,0.482286,0.532154,1,117,0.345755
genus,Erithalis,Rubiaceae,Angiosperm,family,Rubiaceae,4106,-0.998275,0.548977,0.506684,0.437674,1,112,0.418989
genus,Erycibe,Convolvulaceae,Angiosperm,division,Angiosperm,211929,-1.16468,0.646075,0.464109,0.608856,1,385,0.347503
genus,Erythrina,Fabaceae,Angiosperm,family,Fabaceae,13535,-1.19381,0.703454,0.539608,0.602688,1,246.4,0.35056
genus,Erythrococca,Euphorbiaceae,Angiosperm,family,Euphorbiaceae,6196,-1.17832,0.614096,0.482286,0.532154,1,117,0.345755
genus,Erythrophleum,Fabaceae,Angiosperm,genus,Erythrophleum,339,-1.13843,0.709463,0.458737,0.740753,1,112.2,0.355861
genus,Erythroxylum,Erythroxylaceae,Angiosperm,division,Angiosperm,211929,-1.16468,0.646075,0.464109,0.608856,1,385,0.347503
genus,Eschweilera,Lecythidaceae,Angiosperm,genus,Eschweilera,518,-0.770643,0.551539,0.374745,0.41536,5.4,84.4,0.496374
genus,Esenbeckia,Rutaceae,Angiosperm,genus,Esenbeckia,103,-0.885427,0.492311,0.501637,0.298992,1.3,27.1,0.46785
genus,Eucalyptus,Myrtaceae,Angiosperm,genus,Eucalyptus,4930,-0.99423,0.537683,0.349216,0.594649,1,385,0.393272
genus,Eucommia,Eucommiaceae,Angiosperm,division,Angiosperm,211929,-1.16468,0.646075,0.464109,0.608856,1,385,0.347503
genus,Eucryphia,Cunoniaceae,Angiosperm,family,Cunoniaceae,98,-1.12508,0.728754,0.454835,0.574266,2.5,80.5,0.360003
genus,Eugenia,Myrtaceae,Angiosperm,genus,Eugenia,577,-1.05998,0.634793,0.435282,0.537407,1,36.8,0.38089
genus,Euodia,Rutaceae,Angiosperm,family,Rutaceae,1836,-1.18574,0.604387,0.436409,0.516094,1,120,0.336044
genus,Euonymus,Celastraceae,Angiosperm,genus,Euonymus,82,-1.15605,0.616934,0.479853,0.34658,1,22.6,0.353129
genus,Euphorbia,Euphorbiaceae,Angiosperm,family,Euphorbiaceae,6196,-1.17832,0.614096,0.482286,0.532154,1,117,0.345755
genus,Euplassa,Proteaceae,Angiosperm,family,Proteaceae,510,-1.50893,0.80052,0.381045,0.713551,1.8,88,0.237798
genus,Eupomatia,Eupomatiaceae,Angiosperm,division,Angiosperm,211929,-1.16468,0.646075,0.464109,0.608856,1,385,0.347503
genus,Euroschinus,Anacardiaceae,Angiosperm,family,Anacardiaceae,2052,-1.2584,0.679159,0.439244,0.710644,1,197.5,0.312881
genus,Eurya,Pentaphylacaceae,Angiosperm,genus,Eurya,654,-1.00893,0.467895,0.373524,0.331084,1.5,62,0.390953
genus,Eurycoma,Simaroubaceae,Angiosperm,family,Simaroubaceae,164,-1.05908,0.616087,0.466485,0.707822,1,78.9,0.386634
genus,Eurypetalum,Fabaceae,Angiosperm,family,Fabaceae,13535,-1.19381,0.703454,0.539608,0.602688,1,246.4,0.35056
genus,Euscaphis,Staphyleaceae,Angiosperm,family,Staphyleaceae,84,-0.892752,0.601233,0.452821,0.625817,1,55.4,0.453741
genus,Eusideroxylon,Lauraceae,Angiosperm,genus,Eusideroxylon,55,-0.579715,0.468965,0.296574,0.398028,11.2,108,0.585238
genus,Euxylophora,Rutaceae,Angiosperm,family,Rutaceae,1836,-1.18574,0.604387,0.436409,0.516094,1,120,0.336044
genus,Exbucklandia,Hamamelidaceae,Angiosperm,family,Hamamelidaceae,264,-0.14195,0.387314,0.461524,0.330204,1,44,0.965173
genus,Exocarpos,Santalaceae,Angiosperm,family,Santalaceae,42,-0.828685,0.400661,0.454585,0.269721,1,41.3,0.484149
